None , 194 , 0.0004%
1 , 1689700 , 3.2409%
2 , 417909 , 0.8016%
3 , 421688 , 0.8088%
4 , 15018062 , 28.805%
5 , 62 , 0.0001%
11 , 346775 , 0.6651%
12 , 226704 , 0.4348%
20 , 2603118 , 4.9928%
21 , 16072 , 0.0308%
22 , 24607 , 0.0472%
23 , 12252 , 0.0235%
24 , 5007 , 0.0096%
25 , 97343 , 0.1867%
26 , 1339 , 0.0026%
27 , 283338 , 0.5434%
28 , 548 , 0.0011%
29 , 166 , 0.0003%
30 , 194 , 0.0004%
31 , 1136649 , 2.1801%
32 , 1134188 , 2.1754%
33 , 1158277 , 2.2216%
34 , 1130884 , 2.1691%
35 , 1077346 , 2.0664%
36 , 960107 , 1.8415%
37 , 945348 , 1.8132%
38 , 861525 , 1.6524%
39 , 84624 , 0.1623%
40 , 84561 , 0.1622%
41 , 34163 , 0.0655%
50 , 15604184 , 29.9292%
53 , 5 , 0.0%
54 , 3 , 0.0%
60 , 3995 , 0.0077%
75 , 5701686 , 10.936%
102 , 2 , 0.0%
110 , 2538 , 0.0049%
111 , 1663 , 0.0032%
112 , 1467 , 0.0028%
113 , 1818 , 0.0035%
114 , 1686 , 0.0032%
115 , 1207 , 0.0023%
116 , 1207 , 0.0023%
117 , 875 , 0.0017%
118 , 810 , 0.0016%
119 , 641 , 0.0012%
120 , 1110 , 0.0021%
121 , 714 , 0.0014%
122 , 704 , 0.0014%
123 , 584 , 0.0011%
124 , 529 , 0.001%
125 , 369 , 0.0007%
126 , 435 , 0.0008%
127 , 259 , 0.0005%
128 , 265 , 0.0005%
129 , 225 , 0.0004%
130 , 426 , 0.0008%
131 , 828362 , 1.5888%
132 , 278 , 0.0005%
133 , 200 , 0.0004%
134 , 196 , 0.0004%
135 , 142 , 0.0003%
136 , 171 , 0.0003%
137 , 87 , 0.0002%
138 , 120 , 0.0002%
139 , 78 , 0.0001%
200 , 24 , 0.0%
201 , 3504 , 0.0067%
202 , 90 , 0.0002%
300 , 6426 , 0.0123%
301 , 72939 , 0.1399%
304 , 122163 , 0.2343%
