None , 5123 , 0.0036%
1 , 3754130 , 2.6621%
2 , 1160510 , 0.8229%
3 , 1107265 , 0.7852%
4 , 67996552 , 48.217%
5 , 3 , 0.0%
11 , 725128 , 0.5142%
12 , 496771 , 0.3523%
20 , 2845587 , 2.0178%
21 , 31884 , 0.0226%
22 , 103014 , 0.073%
23 , 13114 , 0.0093%
24 , 6307 , 0.0045%
25 , 5518 , 0.0039%
26 , 5370 , 0.0038%
27 , 20040 , 0.0142%
28 , 3084 , 0.0022%
29 , 2887 , 0.002%
30 , 165 , 0.0001%
31 , 2608797 , 1.8499%
32 , 2604424 , 1.8468%
33 , 2622304 , 1.8595%
34 , 2586030 , 1.8338%
35 , 2493737 , 1.7683%
36 , 2289562 , 1.6236%
37 , 2255408 , 1.5993%
38 , 2082408 , 1.4767%
39 , 175583 , 0.1245%
40 , 175644 , 0.1246%
41 , 31345 , 0.0222%
50 , 35428197 , 25.1225%
51 , 1 , 0.0%
53 , 5 , 0.0%
54 , 26 , 0.0%
60 , 1714 , 0.0012%
75 , 5066089 , 3.5924%
102 , 1 , 0.0%
110 , 3027 , 0.0021%
111 , 1824 , 0.0013%
112 , 1729 , 0.0012%
113 , 1855 , 0.0013%
114 , 1595 , 0.0011%
115 , 1162 , 0.0008%
116 , 1162 , 0.0008%
117 , 811 , 0.0006%
118 , 751 , 0.0005%
119 , 575 , 0.0004%
120 , 1099 , 0.0008%
121 , 651 , 0.0005%
122 , 692 , 0.0005%
123 , 534 , 0.0004%
124 , 455 , 0.0003%
125 , 354 , 0.0003%
126 , 342 , 0.0002%
127 , 241 , 0.0002%
128 , 245 , 0.0002%
129 , 181 , 0.0001%
130 , 376 , 0.0003%
131 , 2092756 , 1.484%
132 , 228 , 0.0002%
133 , 184 , 0.0001%
134 , 163 , 0.0001%
135 , 110 , 0.0001%
136 , 143 , 0.0001%
137 , 84 , 0.0001%
138 , 79 , 0.0001%
139 , 80 , 0.0001%
200 , 201 , 0.0001%
201 , 4391 , 0.0031%
202 , 78 , 0.0001%
300 , 6505 , 0.0046%
301 , 68379 , 0.0485%
304 , 125123 , 0.0887%
