None , 3360 , 0.0031%
1 , 2878353 , 2.6813%
2 , 1030844 , 0.9603%
3 , 1238061 , 1.1533%
4 , 49742475 , 46.3374%
5 , 12 , 0.0%
11 , 410732 , 0.3826%
12 , 284121 , 0.2647%
20 , 2991466 , 2.7867%
21 , 31576 , 0.0294%
22 , 107599 , 0.1002%
23 , 14124 , 0.0132%
24 , 6380 , 0.0059%
25 , 1832 , 0.0017%
26 , 1068 , 0.001%
27 , 181698 , 0.1693%
28 , 1234 , 0.0011%
29 , 4148 , 0.0039%
30 , 170 , 0.0002%
31 , 1447054 , 1.348%
32 , 1444601 , 1.3457%
33 , 1458664 , 1.3588%
34 , 1437817 , 1.3394%
35 , 1381688 , 1.2871%
36 , 1252617 , 1.1669%
37 , 1234534 , 1.15%
38 , 1131968 , 1.0545%
39 , 103879 , 0.0968%
40 , 103787 , 0.0967%
41 , 33453 , 0.0312%
50 , 31311199 , 29.1678%
51 , 1 , 0.0%
52 , 4 , 0.0%
53 , 13 , 0.0%
54 , 5 , 0.0%
60 , 1784 , 0.0017%
75 , 4723740 , 4.4004%
102 , 12 , 0.0%
110 , 2992 , 0.0028%
111 , 1794 , 0.0017%
112 , 1499 , 0.0014%
113 , 1878 , 0.0017%
114 , 1581 , 0.0015%
115 , 1132 , 0.0011%
116 , 1103 , 0.001%
117 , 762 , 0.0007%
118 , 713 , 0.0007%
119 , 596 , 0.0006%
120 , 1068 , 0.001%
121 , 675 , 0.0006%
122 , 660 , 0.0006%
123 , 521 , 0.0005%
124 , 421 , 0.0004%
125 , 305 , 0.0003%
126 , 355 , 0.0003%
127 , 216 , 0.0002%
128 , 183 , 0.0002%
129 , 154 , 0.0001%
130 , 352 , 0.0003%
131 , 1157275 , 1.0781%
132 , 200 , 0.0002%
133 , 192 , 0.0002%
134 , 164 , 0.0002%
135 , 152 , 0.0001%
136 , 134 , 0.0001%
137 , 91 , 0.0001%
138 , 63 , 0.0001%
139 , 67 , 0.0001%
200 , 83 , 0.0001%
201 , 4252 , 0.004%
202 , 92 , 0.0001%
300 , 4352 , 0.0041%
301 , 59516 , 0.0554%
304 , 106778 , 0.0995%
