None , 45 , 0.0001%
1 , 1558668 , 3.0055%
2 , 364044 , 0.702%
3 , 338339 , 0.6524%
4 , 15683999 , 30.243%
5 , 51 , 0.0001%
11 , 241356 , 0.4654%
12 , 156508 , 0.3018%
20 , 2520737 , 4.8607%
21 , 11402 , 0.022%
22 , 26685 , 0.0515%
23 , 12027 , 0.0232%
24 , 4849 , 0.0094%
25 , 3040 , 0.0059%
26 , 1763 , 0.0034%
27 , 644118 , 1.242%
28 , 607 , 0.0012%
29 , 124 , 0.0002%
30 , 201 , 0.0004%
31 , 767271 , 1.4795%
32 , 765677 , 1.4764%
33 , 784834 , 1.5134%
34 , 764991 , 1.4751%
35 , 723538 , 1.3952%
36 , 631557 , 1.2178%
37 , 622760 , 1.2008%
38 , 563517 , 1.0866%
39 , 59646 , 0.115%
40 , 59699 , 0.1151%
41 , 34142 , 0.0658%
50 , 18369958 , 35.4222%
52 , 2 , 0.0%
53 , 23 , 0.0%
54 , 26 , 0.0001%
60 , 3155 , 0.0061%
75 , 5388923 , 10.3913%
102 , 12 , 0.0%
110 , 2482 , 0.0048%
111 , 1554 , 0.003%
112 , 1261 , 0.0024%
113 , 1765 , 0.0034%
114 , 1544 , 0.003%
115 , 1018 , 0.002%
116 , 1079 , 0.0021%
117 , 846 , 0.0016%
118 , 666 , 0.0013%
119 , 548 , 0.0011%
120 , 1110 , 0.0021%
121 , 771 , 0.0015%
122 , 635 , 0.0012%
123 , 506 , 0.001%
124 , 471 , 0.0009%
125 , 337 , 0.0006%
126 , 318 , 0.0006%
127 , 244 , 0.0005%
128 , 237 , 0.0005%
129 , 180 , 0.0003%
130 , 398 , 0.0008%
131 , 550963 , 1.0624%
132 , 229 , 0.0004%
133 , 188 , 0.0004%
134 , 167 , 0.0003%
135 , 117 , 0.0002%
136 , 127 , 0.0002%
137 , 82 , 0.0002%
138 , 59 , 0.0001%
139 , 70 , 0.0001%
200 , 115 , 0.0002%
201 , 4129 , 0.008%
202 , 89 , 0.0002%
300 , 4066 , 0.0078%
301 , 75161 , 0.1449%
304 , 98164 , 0.1893%
