None , 6382 , 0.0129%
1 , 3456937 , 6.9753%
2 , 1216985 , 2.4556%
3 , 1189440 , 2.4%
4 , 12036256 , 24.2864%
5 , 10 , 0.0%
11 , 324777 , 0.6553%
12 , 218226 , 0.4403%
20 , 3403085 , 6.8666%
21 , 22548 , 0.0455%
22 , 57527 , 0.1161%
23 , 14649 , 0.0296%
24 , 5165 , 0.0104%
25 , 2266 , 0.0046%
26 , 24306 , 0.049%
27 , 424334 , 0.8562%
28 , 636 , 0.0013%
29 , 163 , 0.0003%
30 , 192 , 0.0004%
31 , 1167855 , 2.3565%
32 , 1165517 , 2.3517%
33 , 1178653 , 2.3782%
34 , 1161800 , 2.3442%
35 , 1112312 , 2.2444%
36 , 1007747 , 2.0334%
37 , 993051 , 2.0037%
38 , 907008 , 1.8301%
39 , 86957 , 0.1755%
40 , 86894 , 0.1753%
41 , 46007 , 0.0928%
50 , 8476615 , 17.1038%
51 , 1 , 0.0%
53 , 2 , 0.0%
54 , 3 , 0.0%
60 , 4334 , 0.0087%
75 , 8730231 , 17.6156%
110 , 2939 , 0.0059%
111 , 1726 , 0.0035%
112 , 1594 , 0.0032%
113 , 1963 , 0.004%
114 , 1854 , 0.0037%
115 , 1355 , 0.0027%
116 , 1389 , 0.0028%
117 , 965 , 0.0019%
118 , 1013 , 0.002%
119 , 751 , 0.0015%
120 , 1312 , 0.0026%
121 , 775 , 0.0016%
122 , 813 , 0.0016%
123 , 600 , 0.0012%
124 , 566 , 0.0011%
125 , 387 , 0.0008%
126 , 464 , 0.0009%
127 , 282 , 0.0006%
128 , 296 , 0.0006%
129 , 283 , 0.0006%
130 , 476 , 0.001%
131 , 775715 , 1.5652%
132 , 296 , 0.0006%
133 , 209 , 0.0004%
134 , 188 , 0.0004%
135 , 161 , 0.0003%
136 , 184 , 0.0004%
137 , 109 , 0.0002%
138 , 132 , 0.0003%
139 , 86 , 0.0002%
200 , 46 , 0.0001%
201 , 5876 , 0.0119%
202 , 98 , 0.0002%
300 , 7643 , 0.0154%
301 , 77100 , 0.1556%
304 , 141186 , 0.2849%
