2018-06-01,1,10391943,66150457,0.157095559
2018-06-02,1,13097514,76297048,0.171664754
2018-06-03,1,18275321,85195348,0.214510785
2018-06-04,1,17740383,87274162,0.20327188
2018-06-05,1,15884190,70386455,0.225671118
2018-06-06,1,9652743,52861335,0.18260498
2018-06-07,1,12997818,65377100,0.198813009
2018-06-08,1,14356287,68437794,0.209771329
2018-06-09,1,15669598,71055796,0.220525262
2018-06-10,1,17811625,72041408,0.247241489
2018-06-11,1,10681187,67122437,0.159129905
2018-06-12,1,12475917,79545399,0.156840209
2018-06-13,1,10120584,84213476,0.120177725
2018-06-14,1,9507707,97266678,0.097748861
2018-06-15,1,11054743,104990395,0.105292898
2018-06-16,1,15577065,95564388,0.16300073
2018-06-17,1,17082174,92008388,0.185658877
2018-06-18,1,20527293,98889275,0.207578557
2018-06-19,1,23199945,137680201,0.168506037
2018-06-20,1,20479048,147209604,0.139114891
2018-06-21,1,25340510,162560697,0.155883374
2018-06-22,1,21505946,146228332,0.147070993
2018-06-23,1,25353695,182217196,0.139139969
2018-06-24,1,26292618,139385647,0.188632177
2018-06-25,1,17007017,134880269,0.126089732
2018-06-26,1,18204130,165793424,0.109800073
2018-06-27,1,17553565,161431885,0.108736666
2018-06-28,1,18950300,153820518,0.123197479
2018-06-29,1,17668617,146998581,0.120195834
2018-06-30,1,25305757,164999491,0.153368697
2018-07-01,1,33866451,214053469,0.158214913
2018-07-02,1,24169776,202131546,0.119574487
2018-07-03,1,20864642,194727799,0.107147732
2018-07-04,1,11988448,170876932,0.070158376
2018-07-05,1,10968617,157991311,0.069425445
2018-07-06,1,12596633,154333365,0.081619636
2018-07-07,1,51973076,150695002,0.344889182
2018-07-08,1,23515277,140650483,0.167189451
2018-07-09,1,13270859,156790817,0.084640537
2018-07-10,1,13832916,151896146,0.091068249
2018-07-11,1,16396881,151324385,0.108355841
2018-07-12,1,15581585,145097287,0.107387156
2018-07-13,1,15870400,148086527,0.107169776
2018-07-14,1,19046165,130025298,0.146480456
2018-07-15,1,22388960,98094367,0.228238998
2018-07-16,1,12933291,135792316,0.095243173
2018-07-17,1,10745231,135752697,0.079152984
2018-07-18,1,13784658,156702270,0.087967188
2018-07-19,1,13879104,195711372,0.070916186
2018-07-20,1,20068255,184153729,0.108975556
2018-07-21,1,26313254,191622207,0.137318395
