None , 1085 , 0.0022%
1 , 2081822 , 4.2095%
2 , 831705 , 1.6817%
3 , 1098307 , 2.2208%
4 , 14303235 , 28.9217%
5 , 19 , 0.0%
11 , 348841 , 0.7054%
12 , 239619 , 0.4845%
20 , 3059451 , 6.1863%
21 , 10753 , 0.0217%
22 , 35863 , 0.0725%
23 , 13162 , 0.0266%
24 , 4946 , 0.01%
25 , 1740 , 0.0035%
26 , 6797 , 0.0137%
27 , 554611 , 1.1214%
28 , 759 , 0.0015%
29 , 184 , 0.0004%
30 , 204 , 0.0004%
31 , 1188758 , 2.4037%
32 , 1186404 , 2.399%
33 , 1204930 , 2.4364%
34 , 1184451 , 2.395%
35 , 1129918 , 2.2847%
36 , 1025999 , 2.0746%
37 , 1011000 , 2.0443%
38 , 920776 , 1.8618%
39 , 91336 , 0.1847%
40 , 91290 , 0.1846%
41 , 47079 , 0.0952%
50 , 8206151 , 16.5932%
51 , 1 , 0.0%
52 , 1 , 0.0%
53 , 13 , 0.0%
54 , 14 , 0.0%
60 , 4208 , 0.0085%
75 , 8529649 , 17.2473%
110 , 2631 , 0.0053%
111 , 1716 , 0.0035%
112 , 1395 , 0.0028%
113 , 1897 , 0.0038%
114 , 1635 , 0.0033%
115 , 1176 , 0.0024%
116 , 1263 , 0.0026%
117 , 898 , 0.0018%
118 , 809 , 0.0016%
119 , 692 , 0.0014%
120 , 1098 , 0.0022%
121 , 691 , 0.0014%
122 , 670 , 0.0014%
123 , 557 , 0.0011%
124 , 506 , 0.001%
125 , 371 , 0.0008%
126 , 463 , 0.0009%
127 , 276 , 0.0006%
128 , 264 , 0.0005%
129 , 257 , 0.0005%
130 , 427 , 0.0009%
131 , 797495 , 1.6126%
132 , 261 , 0.0005%
133 , 225 , 0.0005%
134 , 176 , 0.0004%
135 , 139 , 0.0003%
136 , 162 , 0.0003%
137 , 106 , 0.0002%
138 , 114 , 0.0002%
139 , 101 , 0.0002%
200 , 24 , 0.0%
201 , 3009 , 0.0061%
202 , 82 , 0.0002%
300 , 7267 , 0.0147%
301 , 75060 , 0.1518%
304 , 136000 , 0.275%
